Fecha,X,Y,longitud,latitud,Calle
2022-11-04,558945,6150640,-56.355727,-34.784731,SIN DATOS
2023-04-18,558985,6150535,-56.355282,-34.785675,VIA_PUBLICA
2023-06-02,558945,6150640,-56.355727,-34.784731,RUTA 1 km. 22.000
2023-09-10,558945,6150640,-56.355727,-34.784731,SIN DATOS
2023-10-24,558945,6150640,-56.355727,-34.784731,RUTA 1 km. 22.000
2023-12-02,558945,6150640,-56.355727,-34.784731,SIN DATOS
2024-12-05,558945,6150640,-56.355727,-34.784731,SIN DATOS
2024-11-26,558945,6150640,-56.355727,-34.784731,SIN DATOS
2024-08-19,558945,6150640,-56.355727,-34.784731,SIN DATOS
2025-02-09,558945,6150640,-56.355727,-34.784731,SIN DATOS
2025-02-22,558945,6150640,-56.355727,-34.784731,SIN DATOS
